system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_vehicles
0.0,0,0.0,0.0,0.0,0
0.1,0,0.0,0.0,13.69931875,8
0.2,0,0.0,0.0,13.610926747956164,8
0.3,0,0.0,0.0,13.640606588780264,8
0.4,0,0.0,0.0,13.633597235565738,8
0.5,0,0.0,0.0,13.630196824402281,8
0.6,0,0.0,0.0,13.630600311244105,8
0.7,0,0.0,0.0,13.646446528483555,8
0.8,0,0.0,0.0,13.622487344602611,8
0.9,0,0.0,0.0,13.65127854500015,8
1.0,0,0.0,0.0,13.63926119437432,8
1.1,0,0.0,0.0,13.629154552752059,8
1.2,0,0.0,0.0,13.642202729943001,8
1.3,0,0.0,0.0,13.645325011218864,8
1.4,0,0.0,0.0,13.614067001464043,8
1.5,0,0.0,0.0,13.641559046575475,8
1.6,0,0.0,0.0,13.642649562398926,8
1.7,0,0.0,0.0,13.611736937613076,8
1.8,0,0.0,0.0,13.641230833681673,8
1.9,0,0.0,0.0,13.635908423984272,8
2.0,0,0.0,0.0,13.621073263118067,8
2.1,0,0.0,0.0,13.633857395872214,12
2.2,0,0.0,0.0,13.601682347320152,12
2.3,0,0.0,0.0,13.60970853761104,12
2.4,0,0.0,0.0,13.596362804806688,12
2.5,0,0.0,0.0,13.604476761510142,12
2.6,0,0.0,0.0,13.593948558396013,12
2.7,0,0.0,0.0,13.610594946147112,12
2.8,0,0.0,0.0,13.581124272726141,12
2.9,0,0.0,0.0,13.598591396833976,12
3.0,0,0.0,0.0,13.61926138734303,12
3.1,0,0.0,0.0,13.60650579482427,12
3.2,0,0.0,0.0,13.605618475365661,12
3.3,0,0.0,0.0,13.580975909542888,12
3.4,0,0.0,0.0,13.611310668105276,12
3.5,0,0.0,0.0,13.60234193916407,12
3.6,0,0.0,0.0,13.61173238808283,12
3.7,0,0.0,0.0,13.620445712695494,12
3.8,0,0.0,0.0,13.592037705675017,12
3.9,0,0.0,0.0,13.60035505637559,12
4.0,0,0.0,0.0,13.60975931326852,12
4.1,0,0.0,0.0,13.736978524630889,16
4.2,0,0.0,0.0,13.727534082054685,16
4.3,0,0.0,0.0,13.737637589455609,16
4.4,0,0.0,0.0,13.743551832162979,16
4.5,0,0.0,0.0,13.735691108322555,16
4.6,0,0.0,0.0,13.734246953768801,16
4.7,0,0.0,0.0,13.734709156236843,16
4.8,0,0.0,0.0,13.74287803016536,16
4.9,0,0.0,0.0,13.715899552165414,16
5.0,0,0.0,0.0,13.737633272571458,16
5.1,0,0.0,0.0,13.729200258271215,16
5.2,0,0.0,0.0,13.730790959662466,16
5.3,0,0.0,0.0,13.72271702373537,16
5.4,0,0.0,0.0,13.724933593394583,16
5.5,0,0.0,0.0,13.723236819810612,16
5.6,0,0.0,0.0,13.727593788132564,16
5.7,0,0.0,0.0,13.74250546629881,16
5.8,0,0.0,0.0,13.740157300702906,16
5.9,0,0.0,0.0,13.741684434877154,16
6.0,0,0.0,0.0,13.720482352802268,16
6.1,0,0.0,0.0,13.672706219625118,24
6.2,0,0.0,0.0,13.654549112205144,24
